result,table,_start,_stop,_time,_value,_field,_measurement
,0,2021-05-08T20:18:30.334Z,2021-05-08T21:18:30.333Z,2021-05-08T20:21:38.695399589Z,99,output,dimmer_output
,0,2021-05-08T20:18:30.334Z,2021-05-08T21:18:30.333Z,2021-05-08T20:21:39.695276052Z,99,output,dimmer_output
,0,2021-05-08T20:18:30.334Z,2021-05-08T21:18:30.333Z,2021-05-08T20:21:40.695350914Z,99,output,dimmer_output
,0,2021-05-08T20:18:30.334Z,2021-05-08T21:18:30.333Z,2021-05-08T20:21:41.694345648Z,99,output,dimmer_output
,0,2021-05-08T20:18:30.334Z,2021-05-08T21:18:30.333Z,2021-05-08T20:21:42.695497055Z,99,output,dimmer_output
,0,2021-05-08T20:18:30.334Z,2021-05-08T21:18:30.333Z,2021-05-08T20:21:43.694745868Z,99,output,dimmer_output
,0,2021-05-08T20:18:30.334Z,2021-05-08T21:18:30.333Z,2021-05-08T20:21:44.695397814Z,99,output,dimmer_output
,0,2021-05-08T20:18:30.334Z,2021-05-08T21:18:30.333Z,2021-05-08T20:21:45.694552468Z,99,output,dimmer_output
,0,2021-05-08T20:18:30.334Z,2021-05-08T21:18:30.333Z,2021-05-08T20:21:46.694622391Z,99,output,dimmer_output
,0,2021-05-08T20:18:30.334Z,2021-05-08T21:18:30.333Z,2021-05-08T20:21:47.695052521Z,99,output,dimmer_output
,0,2021-05-08T20:18:30.334Z,2021-05-08T21:18:30.333Z,2021-05-08T20:21:48.695379771Z,99,output,dimmer_output
,0,2021-05-08T20:18:30.334Z,2021-05-08T21:18:30.333Z,2021-05-08T20:21:49.694847555Z,99,output,dimmer_output
,0,2021-05-08T20:18:30.334Z,2021-05-08T21:18:30.333Z,2021-05-08T20:21:50.695402201Z,99,output,dimmer_output
,0,2021-05-08T20:18:30.334Z,2021-05-08T21:18:30.333Z,2021-05-08T20:21:51.694578172Z,99,output,dimmer_output
,0,2021-05-08T20:18:30.334Z,2021-05-08T21:18:30.333Z,2021-05-08T20:21:52.694532976Z,99,output,dimmer_output
,0,2021-05-08T20:18:30.334Z,2021-05-08T21:18:30.333Z,2021-05-08T20:21:53.6954075Z,99,output,dimmer_output
,0,2021-05-08T20:18:30.334Z,2021-05-08T21:18:30.333Z,2021-05-08T20:21:54.694587645Z,99,output,dimmer_output
,0,2021-05-08T20:18:30.334Z,2021-05-08T21:18:30.333Z,2021-05-08T20:21:55.694478936Z,99,output,dimmer_output
,0,2021-05-08T20:18:30.334Z,2021-05-08T21:18:30.333Z,2021-05-08T20:21:56.694571707Z,99,output,dimmer_output
